Name,Status,Release Year,Programming Language(s),Categories,URL (Original),URL (Wayback Archive),Wayback Preserved,Author,Catalog Section
ADAPTSITE,archived,,,general-purpose,http://homes.bio.psu.edu/people/faculty/nei/software.htm,http://web.archive.org/web/20100614180921/http://homes.bio.psu.edu/people/faculty/nei/software.htm,Yes,,
ALIFRITZ,dormant,2005,C,alignment; likelihood,http://www.cibiv.at/software/alifritz/,,No,Roland Fleißner,Maximum likelihood and Bayesian programs
ALIGN,dormant,1990,C,alignment,http://www-biology.ucsd.edu/~msaier/transport/software.html,,No,Russell Doolittle,Maximum likelihood and Bayesian programs
aLRT,dormant,2006,,bootstrap; likelihood,http://atgc.lirmm.fr/phyml/alrt/,,No,"Maria Anisimova, Olivier Gascuel, and Jean-François Dufayard",Maximum likelihood and Bayesian programs
AMBIORE,dormant,2004,C,bayesian,http://www.phrap.org/othersoftware.html,,No,Dick Hwang and Phil Green,"Tree visualization, simulation, and other programs"
analysis,archived,2003,,distance,http://molpopgen.org/software/lseqsoftware.html,http://web.archive.org/web/20130701104618/http://molpopgen.org/software/lseqsoftware.html,Yes,Kevin Thornton,Distance matrix and computation programs
ANC-GENE,archived,1997,,bayesian; distance,https://homes.bio.psu.edu/people/faculty/nei/software.htm,http://web.archive.org/web/20100614180921/http://homes.bio.psu.edu/people/faculty/nei/software.htm,Yes,Jianzhi George Zhang,Maximum likelihood and Bayesian programs
Ancestor,archived,1997,C,distance,https://homes.bio.psu.edu/people/faculty/nei/software.htm,http://web.archive.org/web/20100614180921/http://homes.bio.psu.edu/people/faculty/nei/software.htm,Yes,Jianzhi George Zhang,Maximum likelihood and Bayesian programs
ANCML,dormant,1998,C,comparative-methods,http://www.zoology.ubc.ca/~schluter/software.html,,No,Dolph Schluter,"Tree visualization, simulation, and other programs"
APE,archived,2004,R,clock-dating; comparative-methods; distance; tree-comparison; tree-visualization,http://cran.r-project.org/web/packages/ape/index.html,,No,Emmanuel Paradis,"Tree visualization, simulation, and other programs"
apTreeshape,archived,,R,simulation; tree-comparison,http://cran.r-project.org/web/packages/apTreeshape/index.html,,No,"Nicolas Bortolussi, Eric Durand, Michael Blum, and Olivier François , then","Tree visualization, simulation, and other programs"
ARB,archived,2004,,distance; general-purpose; likelihood; parsimony; sequence-editing; tree-visualization; utility,http://www.arb-home.de/,http://web.archive.org/web/20251209033631/http://www.arb-home.de/,Yes,Wolfgang Ludwig and Oliver Strunk,"Tree visualization, simulation, and other programs"
ArboDraw,archived,,,alignment; tree-visualization,http://dunbrack.fccc.edu/ArboDraw,http://web.archive.org/web/20250713142414/http://dunbrack.fccc.edu/ArboDraw/,Yes,Adrian Canutescu and Roland Dunbrack,"Tree visualization, simulation, and other programs"
